product_idx,product_id,product_name,category_fixed,price,rating
0,B07CV4L6HX,"Green Leaf WW3D Wonder Extension Cord Winder, Gray, 150 Foot",Other,47.69,4.4
1,B09N1HGY74,"8pcs Toilet Seat Bumpers Universal Toilet Replacement Bumper for Bidet Attachment Toilet Seat Bumper Pads with Strong Adhesive for Home, Hotel, Hospital",Tools,10.99,3.8
2,B087P7538J,"YaeCCC 19 Pcs Hole Saw Kit 3/4''(19mm)- 6''(152mm) Full Set in Case with Mandrels, Hex Key and Install Plate for Soft Wood, PVC Board and Plastic Plate Drilling",Tools,25.99,4.0
3,B0822FF7YQ,LLPT Butyl Putty Tape White 1 Inch x 33Ft Tight Seal for Leak Proof RV Repair Window Glass Boat Sealing Roof Pipe Patching(WST233),Other,21.99,4.5
4,B08NTR8NN4,"Lightbeam 16"" Long Stem Deep Fry Thermometer with Clip, Instant Read 2"" Dial Oil Thermometer Meat Thermometer for Deep Frying, Broiling, BBQ & Turkey ...",Other,18.99,4.2
5,B0BYT4SGZV,"etguuds White USB C to USB C Cable [10ft, 2-Pack], 60W Fast Charging Type C to Type C Charger Cable for Samsung Galaxy S23 S22 S21 S20 Ultra 5G, Z Flip/Fold 4 3, Note 20, Pixel 7 6 Pro & USB-C Laptop",Electronics,15.99,4.5
6,B07RQ5389H,REAQER CPAP Hose Holder Hanger for Preventing tube leakage and tangle Adjustable and Sturdy,Other,27.99,4.3
7,B0B6VLNR45,"SAVITA 2pcs Magnetic Bottle Openers, Can Tapper Magnetic Stainless Steel Can Opener Manual Bottle Punch Opener for Beer Bottles Cans Beverages (Black)",Office,9.99,4.0
8,B08LBYDZ1Q,"Simba Lighting LED A19 Light Bulbs (4 Pack) 9W 60W Equivalent Standard Size Energy Efficient for Home Applications, E26 Medium Base, 2700K Warm White",Home,15.95,4.5
9,B07KMT96S2,"Knife Sharpening Stone,400/1000.2000/5000 Double Side Grit Waterstone,Best Whetstone Sharpener,Professional,Best Kitchen Blade Sharpener Stone, Nonslip Bamboo Base & Angle Guided",Kitchen,29.99,4.4
10,B084GZ28RK,"Nelson Wood Shims - DIY Bundle Wood Shims 8-Inch Shims, High Performance Natural Wood, 100% Kiln Dried - 1 Pack (12 Shims Total)",Other,12.99,4.6
11,B086HGQ97G,"NYXCL 60Pcs 2 Inch Quick Change Sanding Discs Set, 2Pcs 1/4"" Holders, Die Grinder Surface Conditioning Burr Rust Paint Removal",Other,32.99,4.6
12,B00C589DKI,Alpine FlyFit - Earplugs for Pressure Relief & Preventing Ear Pain While Flying - Airplane Travel Essentials - Comfortable Reusable Hypoallergenic Earplugs With Ultra Soft Filter,Camera,23.99,4.4
13,B08R8T657H,"MIXPOWER Extra Long Torx Bit Socket Set, 3.5-inch Length, Torx Bit in 3/8"" Drive T30 - T70, 8 Pieces Set",Tools,19.97,4.4
14,B00NCRJK68,"Party Essentials Hard Plastic Cutlery Combo Pack, 96 Pieces/48 Place Settings, Assorted Neon Brights",Other,9.71,4.2
15,B08ZQRSRM6,"Utiva UTI Test Strips – Home Test Kit for Urinary Tract Infection – Clinically Accurate Results in 2 Minutes – Urine Test Strips for Women and Men, Bundle of 3 Boxes (9 Strips)",Home,53.97,4.4
16,B07PP2KNNH,"DEWENWILS Outdoor Smart Wi-Fi Outlet Box, Heavy Duty 40A 120VAC 2HP Wireless Controller Timer Switch for Pool Water Heater SPA, Compatible with Smart Phone, Alexa, UL Listed",Smart Home,81.99,4.1
17,B0BY4BDK7Y,"KEMEXC Toilet Seat with Toddler Seat Built in, Slow-Close, Quick-Release Hinges, Easy to Clean, 6 Anti-Slip Devices Never Loosen, Potty Training Toilet Seat, Toddler Toilet Seat, White Round 16.5""",Kitchen,66.86,4.6
18,B088M3JCP2,"Heat Insulation Silicone Repair Mat with Scale Ruler and Screw Position for Soldering Iron, Phone and Computer Repair Size:17.9 x 11.8 Inches",Electronics,21.99,4.7
19,B01MFER4XH,MulWark 6pc Premium Grade Magnetic Mini Flathead and Phillips General Micro Precision Head Small Screwdriver Set CRV Eyeglasses Jewelry Watches Electronics Computer Tools Repair Kit,Tools,20.99,4.5
20,B07QGSMK9Q,DS.DISTINCTIVE STYLE Mini 3-in-1 Precision Screwdriver Keychain Eyeglasses Repair Kit with Keyring (1),Tools,7.49,4.0
21,B09WDMGGBZ,"Fasgear USB 4 Cable: 6-inch Thunderbolt 4/3 Cable 100W Charging 40Gbps Data Transfer Compatible for Mac-Book Pro i-Pad Pro 2021 Mac Mini M1 External SSD Hub Docking Monitor Egpu 15cm (15cm, Black)",Electronics,19.99,4.5
22,B09V2S48VB,"Wisesorb 6LBS Silica Gel Flower Drying Crystals, Color Indicating Flower Drying Silica, Reusable Silica Gel for Drying Flowers",Other,46.89,4.1
23,B071GV16R2,"ResMed Nasal Pillow for AirFit P10 - Features Dual-Wall Technology - Single Pair, X-Small",Other,26.4,4.8
24,B07H54NZ34,"Command Picture Hanging Strips Variety Pack, Damage Free Hanging Picture Hangers, No Tools Wall Hanging Strips for Living Spaces, White, 10 Small Pairs and 8 Medium Pairs (36 Strips)",Tools,13.2,4.5
25,B0917V1JJP,"Amazon Basics Foam Wrap Roll with 20 Fragile Stickers, 12 inches wide , 50 feet long, 1 Roll",Other,19.68,4.3
